Player,Salary,Year
Randy Foye,"$27,849,000",2013
Jason Smith,"$21,459,805",2013
Reggie Williams,"$20,907,128",2013
Cole Aldrich,"$20,807,922",2013
Jeff Teague,"$19,948,799",2013
Jimmer Fredette,"$19,752,645",2013
Andre Drummond,"$19,450,000",2013
Eric Maynor,"$19,261,200",2013
Xavier Henry,"$19,000,000",2013
Darren Collison,"$18,160,354",2013
Omri Casspi,"$17,779,457",2013
Serge Ibaka,"$17,548,838",2013
BJ Mullens,"$17,545,000",2013
DeShawn Stevenson,"$17,545,000",2013
Austin Rivers,"$17,177,795",2013
Rodrigue Beaubois,"$17,024,000",2013
CJ Miles,"$16,790,345",2013
Klay Thompson,"$16,500,000",2013
Ed Davis,"$16,473,002",2013
Martell Webster,"$16,460,532",2013
Alec Burks,"$16,402,500",2013
Taj Gibson,"$15,052,181",2013
Meyers Leonard,"$15,000,000",2013
Patrick Patterson,"$15,000,000",2013
Dante Cunningham,"$14,850,000",2013
Wayne Ellington,"$14,718,250",2013
Toney Douglas,"$14,107,492",2013
Markieff Morris,"$13,891,359",2013
Shaun Livingston,"$13,668,750",2013
Jeremy Lamb,"$13,668,750",2013
Earl Watson,"$13,668,750",2013
Larry Sanders,"$13,668,750",2013
Marcus Morris,"$13,668,000",2013
Grant Hill,"$13,604,188",2013
Marco Belinelli,"$13,543,250",2013
Kendall Marshall,"$13,326,700",2013
Luke Babbitt,"$13,200,000",2013
Kawhi Leonard,"$13,150,000",2013
John Henson,"$13,058,606",2013
Kevin Seraphin,"$13,000,000",2013
Jeremy Evans,"$13,000,000",2013
Nikola Vucevic,"$12,939,675",2013
Moe Harkless,"$12,744,000",2013
Eric Bledsoe,"$12,500,000",2013
Iman Shumpert,"$12,467,532",2013
Renaldo Balkman,"$12,400,000",2013
Anthony Randolph,"$12,000,000",2013
Royce White,"$12,000,000",2013
Avery Bradley,"$11,950,000",2013
Reggie Evans,"$11,815,850",2013
Chris Singleton,"$11,050,000",2013
Sebastian Telfair,"$11,046,591",2013
Tyler Zeller,"$11,000,000",2013
Tobias Harris,"$11,000,000",2013
Derek Fisher,"$10,924,138",2013
John Lucas,"$10,532,977",2013
Gustavo Ayon,"$10,500,000",2013
Gary Forbes,"$10,164,000",2013
Vyacheslav Kravtsov,"$10,060,000",2013
Jordan Farmar,"$10,000,000",2013
Terrence Jones,"$10,000,000",2013
Jared Jeffries,"$10,000,000",2013
Keyon Dooling,"$9,779,349",2013
Elliot Williams,"$9,682,435",2013
Andrew Nicholson,"$9,638,554",2013
Nolan Smith,"$9,439,000",2013
Nando De Colo,"$9,000,000",2013
Jodie Meeks,"$8,900,000",2013
Trevor Booker,"$8,700,000",2013
Willie Green,"$8,646,364",2013
Louis Amundson,"$8,600,000",2013
Donatas Motiejunas,"$8,500,000",2013
Evan Fournier,"$8,500,000",2013
Jason Collins,"$8,500,000",2013
Jamaal Tinsley,"$8,400,000",2013
Jermaine O'Neal,"$8,349,000",2013
Kurt Thomas,"$8,287,500",2013
Rasheed Wallace,"$8,200,000",2013
Joel Przybilla,"$8,100,000",2013
Antawn Jamison,"$8,080,000",2013
Vladimir Radmanovic,"$8,060,000",2013
Nazr Mohammed,"$8,039,130",2013
Jerry Stackhouse,"$8,000,000",2013
Chris Wilcox,"$8,000,000",2013
Kenneth Faried,"$8,000,000",2013
Jeremy Pargo,"$8,000,000",2013
Jared Sullinger,"$7,972,891",2013
Hamed Haddadi,"$7,900,000",2013
Dominique Jones,"$7,810,000",2013
Victor Claver,"$7,800,531",2013
Fab Melo,"$7,632,500",2013
Reggie Jackson,"$7,562,500",2013
